complete,family,model_path,large,params,type,languages
,Qwen3.5,Qwen/Qwen3.5-4B,,4B,instruct,all
,Qwen3.5,Qwen/Qwen3.5-9B,,9B,instruct,all
,Qwen3.5,Qwen/Qwen3.5-27B,,27B,instruct,all
,Qwen3.5,Qwen/Qwen3.5-2B,,2B,instruct,all
,Qwen3.5,Qwen/Qwen3.5-0.8B,,800M,instruct,all
,Qwen3.5,Qwen/Qwen3.5-0.8B-Base,,800M,base,all
,Qwen3.5,Qwen/Qwen3.5-2B-Base,,2B,base,all
,Qwen3.5,Qwen/Qwen3.5-4B-Base,,4B,base,all
,Qwen3.5,Qwen/Qwen3.5-9B-Base,,9B,base,all
,Tiny Aya,CohereLabs/tiny-aya-global,,3B,instruct,"eng, nld, fra, ita, por, ron, spa, ces, pol, ukr, rus, ell, deu, dan, swe, nor, cat, glg, cym, gle, eus, hrv, lav, lit, slk, slv, est, fin, hun, srp, bul, ara, fas, urd, tur, mlt, heb, hin, mar, ben, guj, pan, tam, tel, nep, tgl, msa, ind, vie, jav, khm, tha, lao, zho, mya, jpn, kor, amh, hau, ibo, mlg, sna, swa, wol, xho, yor, zul"
,Tiny Aya,CohereLabs/tiny-aya-base,,3B,base,"eng, nld, fra, ita, por, ron, spa, ces, pol, ukr, rus, ell, deu, dan, swe, nor, cat, glg, cym, gle, eus, hrv, lav, lit, slk, slv, est, fin, hun, srp, bul, ara, fas, urd, tur, mlt, heb, hin, mar, ben, guj, pan, tam, tel, nep, tgl, msa, ind, vie, jav, khm, tha, lao, zho, mya, jpn, kor, amh, hau, ibo, mlg, sna, swa, wol, xho, yor, zul"
,Gemma4,google/gemma-4-31B-it,,31B,instruct,all
,Gemma4,google/gemma-4-E2B,,5B,base,all
,Gemma4,google/gemma-4-E2B-it,,5B,instruct,all
,Gemma4,google/gemma-4-E4B,,8B,base,all
,Gemma4,google/gemma-4-E4B-it,,8B,instruct,all
,SEA LION,aisingapore/Gemma-SEA-LION-v3-9B,,9B,base,"mya, zho, eng, fil, ind, jav, khm, lao, msa, sun, tam, tha, vie"
,SEA LION,aisingapore/Gemma-SEA-LION-v3-9B-IT,,9B,instruct,"mya, zho, eng, fil, ind, jav, khm, lao, msa, sun, tam, tha, vie"
,SEA LION,aisingapore/Llama-SEA-LION-v3-70B,1,70B,base,"mya, zho, eng, fil, ind, jav, khm, lao, msa, sun, tam, tha, vie"
