complete,family,model_path,large,params,type,languages,params_b
,Qwen3.5,Qwen/Qwen3.5-9B,,9B,instruct,all,9.0
,Gemma4,google/gemma-4-E4B-it,,8B,instruct,all,8.0
,SEA LION,aisingapore/Gemma-SEA-LION-v3-9B-IT,,9B,instruct,"mya, zho, eng, fil, ind, jav, khm, lao, msa, sun, tam, tha, vie",9.0
,SEA LION,aisingapore/Llama-SEA-LION-v3-8B-IT,,8B,instruct,"mya, zho, eng, fil, ind, jav, khm, lao, msa, sun, tam, tha, vie",8.0
,Salamandra,BSC-LT/salamandra-7b-instruct,,7B,instruct,"eng, spa, fra, rus, deu, hun, por, ita, cat, nld, pol, ukr, ell, ces, ron, slk, bul, swe, nor, dan, fin, slv, glg, srp, hun, eus, est, lit, lav, mlt, cym, gle, hbs, oci, nno",7.0
,Aya,CohereLabs/aya-expanse-8b,,8B,instruct,"eng, fra, deu, spa, ita, por, jpn, kor, zho, ara, ell, fas, pol, ind, ces, heb, hin, nld, ron, rus, tur, ukr, vie",8.0
,Command R,CohereLabs/c4ai-command-r7b-12-2024,,7B,instruct,"eng, fra, spa, ita, deu, por, jpn, kor, ara, zho, rus, pol, tur, vie, nld, ces, ind, ukr, ron, ell, hin, heb, fas",7.0
,Deepseek,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,14B,instruct,all,14.0
,Deepseek,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,7B,instruct,all,7.0
,Gemma2,google/gemma-2-9b-it,,9B,instruct,all,9.0
,Gemma3,google/gemma-3-12b-it,,12B,instruct,all,12.0
,Krikri,ilsp/Llama-Krikri-8B-Instruct,,8B,instruct,ell,8.0
,Meltemi,ilsp/Meltemi-7B-Instruct-v1.5,,7B,instruct,ell,7.0
,JAIS,inceptionai/jais-family-13b-chat,,13B,instruct,"apc, arz, ary, arb, apc, ajp, afb, ayn, ajp, aeb, arq",13.0
,Kanana,kakaocorp/kanana-1.5-8b-instruct-2505,,8B,instruct,kor,8.0
,EXAONE,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,,7.8B,instruct,kor,7.8
,Poro,LumiOpen/Llama-Poro-2-8B-Instruct,,8B,instruct,fin,8.0
,Llama,meta-llama/Llama-3.1-8B-Instruct,,8B,instruct,all,8.0
,Phi3,microsoft/Phi-3-medium-4k-instruct,,14B,instruct,all,14.0
,Phi3,microsoft/Phi-3-small-8k-instruct,,7.4B,instruct,all,7.4
,Phi4,microsoft/phi-4,,15B,instruct,all,15.0
,Mistral,mistralai/Mistral-7B-Instruct-v0.1,,7B,instruct,all,7.0
,Mistral,mistralai/Mistral-7B-Instruct-v0.3,,7B,instruct,all,7.0
,Mistral,mistralai/Mixtral-8x7B-Instruct-v0.1,,7B,instruct,all,7.0
,Qwen,Qwen/Qwen2.5-14B-Instruct,,14B,instruct,all,14.0
,Qwen,Qwen/Qwen2.5-7B-Instruct,,7B,instruct,all,7.0
,Qwen3,Qwen/Qwen3-14B,,14B,instruct,all,14.0
,Qwen3,Qwen/Qwen3-8B,,8B,instruct,all,8.0
,Sailor,sail/Sailor2-8B-Chat,,8B,instruct,"eng, zho, ind, tha, vie, msa, lao, mya, jav, khm, sun, tgl",8.0
,Minerva,sapienzanlp/Minerva-7B-instruct-v1.0,,7B,instruct,ita,7.0
,SeaLLM,SeaLLMs/SeaLLMs-v3-7B-Chat,,7B,instruct,"eng, zho, ind, vie, tha, tgl, msa, mya, khm, lao, tam, jav",7.0
,Apertus,swiss-ai/Apertus-8B-Instruct-2509,,8B,instruct,all,8.0
,Falcon,tiiuae/falcon-7b-instruct,,7B,instruct,"eng, deu, spa, fra, ita, por, pol, nld, ron, ces, swe",7.0
,Babel,Tower-Babel/Babel-9B-Chat,,9B,instruct,"eng, zho, hin, spa, fra, arb, ben, rus, por, ind, urd, deu, jpn, swa, tam, tur, kor, vie, jav, ita, hau, tha, fas, tgl, mya",9.0
,Tower,Unbabel/TowerInstruct-13B-v0.1,,13B,instruct,"eng, por, spa, fra, deu, nld, ita, kor, zho, rus",13.0
,Tower,Unbabel/TowerInstruct-7B-v0.1,,7B,instruct,"eng, por, spa, fra, deu, nld, ita, kor, zho, rus",7.0
,EuroLLM,utter-project/EuroLLM-9B-Instruct,,9B,instruct,"bul, hrv, ces, dan, nld, eng, est, fin, fra, deu, ell, hun, gle, ita, lav, lit, mlt, pol, por, ron, slk, slv, spa, swe, ara, cat, zho, glg, hin, jpn, kor, nor, rus, tur, ukr",9.0
,VinaLLaMA,vilm/vinallama-7b-chat,,7B,instruct,vie,7.0
,PhoGPT,vinai/PhoGPT-7B5-Instruct,,7.5B,instruct,vie,7.5
