complete,family,model_path,large,params,type,languages,params_b
,Qwen3.5,Qwen/Qwen3.5-27B,,27B,instruct,all,27.0
,Gemma4,google/gemma-4-31B-it,,31B,instruct,all,31.0
,Aya,CohereLabs/aya-expanse-32b,,32B,instruct,"eng, fra, deu, spa, ita, por, jpn, kor, zho, ara, ell, fas, pol, ind, ces, heb, hin, nld, ron, rus, tur, ukr, vie",32.0
,Command R,CohereLabs/c4ai-command-r-08-2024,,32B,instruct,"eng, fra, deu, spa, ita, por, jpn, kor, zho, ara",32.0
,Deepseek,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,,32B,instruct,all,32.0
,Gemma2,google/gemma-2-27b-it,,27B,instruct,all,27.0
,Gemma3,google/gemma-3-27b-it,,27B,instruct,all,27.0
,JAIS,inceptionai/jais-family-30b-8k-chat,,30B,instruct,"apc, arz, ary, arb, apc, ajp, afb, ayn, ajp, aeb, arq",30.0
,EXAONE,LGAI-EXAONE/EXAONE-3.5-32B-Instruct,,32B,instruct,kor,32.0
,EXAONE,LGAI-EXAONE/EXAONE-4.0-32B,,32B,instruct,kor,32.0
,Phi4,microsoft/phi-4,,15B,instruct,all,15.0
,Mistral,mistralai/Mistral-Small-Instruct-2409,,22B,instruct,all,22.0
,Kimi K3,moonshotai/Kimi-K2-Instruct,,32B,instruct,all,32.0
,GPT-oss,openai/gpt-oss-20b,,20B,instruct,all,20.0
,Qwen,Qwen/Qwen2.5-32B-Instruct,,32B,instruct,all,32.0
,Qwen3,Qwen/Qwen3-32B,,32B,instruct,all,32.0
,Sailor,sail/Sailor2-20B-Chat,,20B,instruct,"eng, zho, ind, tha, vie, msa, lao, mya, jav, khm, sun, tgl",20.0
,Sarvam,sarvamai/sarvam-m,,24B,instruct,"eng, ben, hin, kan, guj, mar, mal, ori, pan, tam, tel",24.0
,Falcon,tiiuae/falcon-40b-instruct,,40B,instruct,"eng, deu, spa, fra, ita, por, pol, nld, ron, ces, swe",40.0
